Entity,Code,Year,"Child mortality rate of children aged under five years, per 100 live births","Current health expenditure per capita, PPP (current international $)",Population (historical),World regions according to OWID,time,time,time,time
United Arab Emirates,ARE,2019,0.630452,3236.161,9377855,Asia,2019,2023,2019,2019
United Kingdom,GBR,2019,0.43773463,4982.202,67110958,Europe,2019,2023,2019,2019
United States,USA,2019,0.64926046,10546.014,337790069,North America,2019,2023,2019,2019
Uruguay,URY,2019,0.7387888,2296.0022,3397206,South America,2019,2023,2019,2019
Uzbekistan,UZB,2019,1.5648968,424.34326,32964700,Asia,2019,2023,2019,2019
Vanuatu,VUT,2019,1.7840501,116.65832,291995,Oceania,2019,2023,2019,2019
Venezuela,VEN,2019,2.4257355,79.020164,28938096,South America,2019,2023,2019,2019
Vietnam,VNM,2019,2.1185317,523.92725,97173778,Asia,2019,2023,2019,2019
Yemen,YEM,2019,4.5910187,107.6534,35111416,Asia,2019,2023,2019,2019
Zambia,ZMB,2019,5.4088087,235.69543,18513839,Africa,2019,2023,2019,2019
Zimbabwe,ZWE,2019,5.106257,74.508095,15271377,Africa,2019,2023,2019,2019
